"Descrição do Bem","Valor"
"RACK INFORMÁTICA SEM MARCA ABERTO SEM VENTILADORES 44US PARDÃO 19'.","933,60"
"ARMÁRIO DEL MÓVEIS TIPO SUSPENSO SEM PORTAS","255,00"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","943,00"
"MESA MARELLI reunião redonda 120x075m, cor argila","647,00"
"MESA FORTLINE OVALADA 3.00X1.20M","2.034,40"
"CADEIRA EUROLINE (TOK PLASTIMETAL) SEM BRAÇOS E SEM RODIZIO","250,00"
"CADEIRA EUROLINE (TOK PLASTIMETAL) SEM BRAÇOS E SEM RODIZIO","250,00"
"CADEIRA EUROLINE (TOK PLASTIMETAL) ESPALDAR ALTO C/APΟΙΑ BR. TIPO DIRETOR","539,00"
"LONGARINA EUROLINE (TOK PLASTIMETAL) COM 02 LUGARES ESP MÉDIO E APOIA BRAÇOS","740,00"
"LONGARINA EUROLINE (TOK PLASTIMETAL) COM 02 LUGARES ESP MÉDIO E APOIA BRAÇOS","740,00"
"LONGARINA EUROLINE (TOK PLASTIMETAL) COM 02 LUGARES ESP MÉDIO E APOIA BRAÇOS","740,00"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","943,00"
"MESA CENTRA MÓVEIS Peninsular 180x160x090","1.234,00"
"MESA FORTLINE MESA OVALADA/COR ARGILA (2,40X1,20X0,75)","1.473,07"
"MESA FORTILINE MESA OVALADA/COR ARGILA (3,00X1,20X0,755)","2.034,40"
"MESA FORTILINE MESA OVALADA/COR ARGILA (3,00Χ1,20X0,755)","2.034,40"
"SWITCH ARUBA SWITCH ARUBA 2530 24G (J9776A)","4.157,73"
"SWITCH ARUBA SWITCH ARUBA 2530 24G (J9776A)","4.157,73"
"SWITCH ARUBA SWITCH ARUBA 2530 24G (J9776A)","4.157,73"
"SWITCH ARUBA SWITCH ARUBA 2530 24G (J9776A)","4.157,73"
"CONDENSADORA DE AR CONDICIONADO ELGIN UN.EXT.HW ECO INVERTER. 12K, F.220V, 1HP","940,77"
"EVAPORADORA DE AR CONDICIONADO ELGIN UN.INT.HW ECO INVERTER. 12K, F,220V, 1HP","627,18"
"SWITCH SEM MARCA ARUBA 2530 24G (J9776A)","5.994,00"
"SWITCH SEM MARCA ARUBA 2530 24G (J9776A)","5.994,00"
"SWITCH SEM MARCA ARUBA 2530 24G (J9776A)","5.994,00"
"FOGÃO AGRATTO DE MESA 02 BOCAS 220V 2000W","218,00"
"CONDENSADORA DE AR CONDICIONADO ELGIN UNIDADE EXTERNA UNIVERSAL 60K, F, 380V DCR","6.780,00"
"EVAPORADORA DE AR CONDICIONADO ELGIN UNID.INT.EVP.COND.AR PISO/TETO 60.000, R-410A FRIO,","4.520,00"
"EVAPORADORA DE AR CONDICIONADO ELGIN UNID.INT.EVP.COND.AR PISO/TETO 60.000, R-410A FRIO,","4.520,00"
"REFRIGERADOR CONSUL 1 PORTA, 261L, BRANCA, 220V","2.050,00"
"FOGÃO AGRATTO ELETRICO 2B 2000W","218,00"
"FOGÃO AGRATTO ELETRICO 2B 2000W","218,00"
"PONTO DE ACESSO RUCKUS R650 802.11 ABGN/AC/AX","3.070,00"
"PONTO DE ACESSO RUCKUS R650 802,11 ABGN/AC/AX","3.070,00"
"PONTO DE ACESSO RUCKUS R650 802,11 ABGN/AC/AX","3.070,00"
"PONTO DE ACESSO RUCKUS R650 802,11 ABGN/AC/AX","3.070,00"
"PONTO DE ACESSO RUCKUS R650 802.11 ABGN/AC/AX","3.070,00"
"PONTO DE ACESSO RUCKUS R650 802.11 ABGN/AC/AX","3.070,00"
